y’umutima	 y ’ u m u t i m a
bazaba	 b a z a b a
bafite	 b a f i t e
kuryama	 k u r y a m a
ubwo	 u b w o
bageze	 b a g e z e
bagana	 b a g a n a
abakozi	 a b a k o z i
bashinzwe	 b a s h i n z w e
bagirana	 b a g i r a n a
amasezerano	 a m a s e z e r a n o
hoteli	 h o t e l i
zihariyenubwo	 z i h a r i y e n u b w o
ushobora	u s h o b o r a
kubibona	 k u b i b o n a
nk’ibishoboka	 n k ’ i b i s h o b o k a
bundi	 b u n d i
buryo	 b u r y o
bw’amacumbink’aho	 b w ’ a m a c u m b i n k ’ a h o
gukambikabinyuze	 g u k a m b i k a b i n y u z e
mukozi	 m u k o z i
ushinzwe	 u s h i n z w e
ubusanzwe	u b u s a n z w e
batanga	 b a t a n g a
amapaki	 a m a p a k i
arimo	 a r i m o
ifunguro	i f u n g u r o
gitondouburyo	 g i t o n d o u b u r y o
bw’urugendo	 b w ’ u r u g e n d o
rujyaruva	 r u j y a  r u v a
kibuga	 k i b u g a
cy’indege	 c y ’ i n d e g e
n’amapaki	 n ’ a m a p a k i
akubiyemo	 a k u b i y e m o
y’indege	 y ’ i n d e g e
bashobora	 b a s h o b o r a
kukubikira	 k u k u b i k i r a
ukeneye	 u k e n e y e
cyo	 c y o
gutekereza	 g u t e k e r e z a
mpano	 m p a n o
mpapuro	 m p a p u r o
bw’icyerekezo	 b w ’ i c y e r e k e z o
cyawe	 c y a w e
urugero	 u r u g e r o
visa	 v i s a
maserukiramuco	 m a s e r u k i r a m u c o
amwe	 a m w e
n’amweumubare	 n ’ a m w e u m u b a r e
munini	 m u n i n i
w’abayitabira	 w ’ a b a y i t a b i r a
bahitamo	 b a h i t a m o
gukambika	 g u k a m b i k a
sitekandi	 s i t e k a n d i
abitabiriye	 a b i t a b i r i y e
babifata	 b a b i f a t a
nk’igice	 n k ’ i g i c e
cy’urugendo	 c y ’ u r u g e n d o
nzu	 n z u
z’urusimbi	 z ’ u r u s i m b i
by’umwihariko	 b y ’ u m w i h a r i k o
hakoreshwa	 h a k o r e s h w a
imbaraga	i m b a r a g a
kuzamura	 k u z a m u r a
n’amafaranga	 n ’ a m a f a r a n g a
akoreshwa	 a k o r e s h w a
n’abahasuye	 n ’ a b a h a s u y e
nta	 n t a
madirishya	 m a d i r i s h y a
n’amasaha	 n ’ a m a s a h a
biba	 b i b a
bihari	 b i h a r i
ubusanzwekandi	 u b u s a n z w e k a n d i
gusohokera	 g u s o h o k e r a
ntibiba	 n t i b i b a
byoroshye	 b y o r o s h y e
kuhabona	 k u h a b o n a
duce	 d u c e
tumwe	 t u m w e
ibinyobwa	 i b i n y o b w a
bisindisha	 b i s i n d i s h a
icyakora	 i c y a k o r a
ubusinzi	 u b u s i n z i
bubangamira	 b u b a n g a m i r a
imitekererezekandi	 i m i t e k e r e r e z e k a n d i
abakinnyi	a b a k i n n y i
b’urusimbi	 b ’ u r u s i m b i
bazi	 b a z i
akamaro	 a k a m a r o
kudasinda	 k u d a s i n d a
gihe	 g i h e
cy’ikibundaurubura	 c y ’ i k i b u n d a u r u b u r a
ruhagije	 r u h a g i j e
rukubuza	 r u k u b u z a
gutambuka	 g u t a m b u k a
wagwa	 w a g w a
gito	 g i t o
kureba	 k u r e b a
imbere	 i m b e r e
kudakunda	 k u d a k u n d a
bitewe	 b i t e w e
guhanuka	 g u h a n u k a
kuvunguka	 k u v u n g u k a
k’urubura	 k ’ u r u b u r a
kurukonda	 k u r u k o n d a
urubura	 u r u b u r a
rwagiye	 r w a g i y e
y’imodoka	 y ’ i m o d o k a
intareibisamagwe	i n t a r e i b i s a m a g w e
n’ingwe	 n ’ i n g w e
byiheje	 b y i h e j e
bityo	 b i t y o
uzabibona	 u z a b i b o n a
wifashishije	 w i f a s h i s h i j e
imboneshakure	 i m b o n e s h a k u r e
ubukerarugendo	 u b u k e r a r u g e n d o
bushingiye	 b u s h i n g i y e
kugenda	 k u g e n d a
bunitwa	  b u n i t w a
gihuru	 g i h u r u
zurira	 z u r i r a
umusozicyangwa	 u m u s o z i  c y a n g w a
kugenza	  k u g e n z a
ibirenge	 i b i r e n g e
bugizwe	 b u g i z w e
kurira	 k u r i r a
imisozibyaba	 i m i s o z i b y a b a
amasaha	 a m a s a h a
make	 m a k e
runaka	 r u n a k a
imikino	i m i k i n o
olempike	 o l e m p i k e
y’abafite	 y ’ a b a f i t e
ubumuga	 u b u m u g a
izaba	 i z a b a
4	 4
kanama	 k a n a m a
nzeri	 n z e r i
bimwe	 b i m w e
bizabera	 b i z a b e r a
bice	 b i c e
bitari	 b i t a r i
ubuyapani	 u b u y a p a n i
tokyo	t o k y o
uzaba	 u z a b a
mujyi	 m u j y i
rukumbi	 r u k u m b i
aziya	 a z i y a
wakiriye	 w a k i r i y e
y’impeshyi	 y ’ i m p e s h y i
kabiriyaherukaga	 k a b i r i y a h e r u k a g a
kwakira	 k w a k i r a
iyi	 i y i
164	 1  6 4
wateguje	 w a t e g u j e
ndege	 n d e g e
guhabwa	 g u h a b w a
icumbi	 i c u m b i
y’uko	 y ’ u k o
kubyimura	 k u b y i m u r a
bitangazwaushobora	 b i t a n g a z w a u s h o b o r a
kugira	 k u g i r a
ikibazo	 i k i b a z o
kitoroshye	 k i t o r o s h y e
biritezwe	b i r i t e z w e
y’ibirori	 y ’ i b i r o r i
ihenze	 i h e n z e
izagura	 i z a g u r a
y’amayeni	 y ’ a m a y e n i
ndetse	 n d e t s e
13mu	  1 3      m u
asanzwe	 a s a n z w e
azaba	 a z a b a
agura	 a g u r a
akabakaba	 a k a b a k a b a
amayeni	 a m a y e n i
ipasi	 i p a s i
idaharicyangwa	 i d a h a r i c y a n g w a
se	 s e
udakunda	 u d a k u n d a
amasogisi	 a m a s o g i s i
ateye	 a t e y e
ipasiushobora	 i p a s i u s h o b o r a
kugerageza	 k u g e r a g e z a
gukoresha	 g u k o r e s h a
icyumisha	 i c y u m i s h a
umusatsiniba	 u m u s a t s i n i b a
gihari	 g i h a r i
utuyunguruzo	u t u y u n g u r u z o
turatandukana	 t u r a t a n d u k a n a
nezabityo	 n e z a b i t y o
ufite	 u f i t e
impungengeugomba	 i m p u n g e n g e u g o m b a
akorwa	 a k o r w a
n’ikompanyi	 n ’ i k o m p a n y i
izwi	 i z w i
n’udukoko	 n ’ u d u k o k o
batari	 b a t a r i
basanzwe	 b a s a n z w e
bamenyereye	 b a m e n y e r e y e
batuyemo	 b a t u y e m o
udukoko	u d u k o k o
dushobora	 d u s h o b o r a
guhumanya	 g u h u m a n y a
ibiryokubangamiranacyangwa	 i b i r y o k u b a n g a m i r a n a c y a n g w a
byaba	 b y a b a
bibi	 b i b i
tugatera	 t u g a t e r a
kwishimaguratugakwirakwiza	 k w i s h i m a g u r a t u g a k w i r a k w i z a
uburozicyangwa	 u b u r o z i c y a n g w a
tugakwirakwiza	 t u g a k w i r a k w i z a
indwara	 i n d w a r a
ziterwa	 z i t e r w a
ubwazocyangwa	 u b w a z o c y a n g w a
inyamanswa	 i n y a m a n s w a
z’inkazi	 z ’ i n k a z i
gukomeretsa	 g u k o m e r e t s a
kwica	 k w i c a
ngufuntago	 n g u f u n t a g o
zifatwa	 z i f a t w a
nk’udukoko	 n k ’ u d u k o k o
umuvuduko	 u m u v u d u k o
ntarengwa	 n t a r e n g w a
wamanitswe	 w a m a n i t s w e
muto	 m u t o
ugereranije	 u g e r e r a n i j e
byahabanjirije	 b y a h a b a n j i r i j e
nibihakurikira	 n  i b i h a k u r i k i r a
—	 —
bisanzwe	 b i s a n z w e
muvuduko	 m u v u d u k o
34	 3 4
664	   6  6 4
kilometeroisaha	 k i l o m e t e r o  i s a h a
ngombwa	 n g o m b w a
kubyubahiriza	 k u b y u b a h i r i z a
igitangajearikoserivisi	i g i t a n g a j e a r i k o s e r i v i s i
telefoni	 t e l e f o n i
ngendanwa	 n g e n d a n w a
irakomeye	 i r a k o m e y e
hano	 h a n o
kurenza	 k u r e n z a
nzira	 n z i r a
nyabagendwaurugero	 n y a b a g e n d w a u r u g e r o
pennsylvania	 p e n n s y l v a n i a
wilds	 w i l d s
imigati	 i m i g a t i
budage	 b u d a g e
iba	 i b a
myiza	 m y i z a
cyaneno	 c y a n e n o
bavariaiba	 b a v a r i a i b a
ikungahaye	 i k u n g a h a y e
itandukanyeisa	 i t a n d u k a n y e i s a
n’iyo	 n ’ i y o
gituranyi	 g i t u r a n y i
cyabo	 c y a b o
majyepfoositarariya	 m a j y e p f o o s i t a r a r i y a
irimo	 i r i m o
imbuto	 i m b u t o
ibisanzwepome	 i b i s a n z w e p o m e
zitekwa	 z i t e k w a
migati	 m i g a t i
cy’umwaka	 c y ’ u m w a k a
wosehamwe	 w o s e h a m w e
n’inkeri	 n ’ i n k e r i
n’imbuto	 n ’ i m b u t o
zimeze	 z i m e z e
nka	 n k a
pome	 p o m e
bigatuma	 b i g a t u m a
bisa	 b i s a
cy’impeshyi	 c y ’ i m p e s h y i
ushaka	 u s h a k a
mito	 m i t o
ariko	 a r i k o
ikungahayegerageza	 i k u n g a h a y e g e r a g e z a
ikitwa	 i k i t w a
berlinerpfannkuchen	 b e r l i n e r p f a n n k u c h e n
krapfen	 k r a p f e n
n’agace	 n ’ a g a c e
majyaruguru	 m a j y a r u g u r u
y’ubuhinde	 y ’ u b u h i n d e
pakisitaniamata	 p a k i s i t a n i a m a t a
mafunguro	 m a f u n g u r o
imboga	i m b o g a
n’inyama	 n ’ i n y a m a
n’utundi	 n ’ u t u n d i
two	 t w o
nyanja	 n y a n j a
z’umugabane	 z ’ u m u g a b a n e
mutoamata	 m u t o a m a t a
kokonati	 k o k o n a t i
arakoreshwa	 a r a k o r e s h w a
guhitamoibiryo	 g u h i t a m o i b i r y o
indoneziya	 i n d o n e z i y a
uruhurirane	 u r u h u r i r a n e
rw’indyo	 r w ’ i n d y o
ziboneka	 z i b o n e k a
cyose	 c y o s e
gusaiyo	g u s a i y o
rikoreshejwe	 r i k o r e s h e j w e
bigendewehoijambo	 b i g e n d e w e h o i j a m b o
riba	 r i b a
rishatse	 r i s h a t s e
gusobanura	 g u s o b a n u r a
ibiryo	i b i r y o
bikomoka	 b i k o m o k a
n’uburasirazuba	 n ’ u b u r a s i r a z u b a
bw’ikirwa	 b w ’ i k i r w a
java	 j a v a
imikandara	 i m i k a n d a r a
kuririraho	 k u r i r i r a h o
ifarasi	 i f a r a s i
isigasiye	 i s i g a s i y e
byutwaye	 b y  u t w a y e
byamanutse	 b y a m a n u t s e
ruhande	 r u h a n d e
rwintebe	 r w  i n t e b e
ifarashi	 i f a r a s h i
itanga	 i t a n g a
umutekano	 u m u t e k a n o
usesuye	 u s e s u y e
muntu	 m u n t u
uyigenderahoariko	 u y i g e n d e r a h o a r i k o
ishobora	 i s h o b o r a
gutera	 g u t e r a
ibibazo	 i b i b a z o
n’ubushobozi	 n ’ u b u s h o b o z i
bw’ibirenge	 b w ’ i b i r e n g e
by’uyigenderaho	 b y ’ u y i g e n d e r a h o
kuyifatamo	 k u y i f a t a m o
ugendera	 u g e n d e r a
ajugunywe	 a j u g u n y w e
ikirenge	 i k i r e n g e
cye	 c y e
kigafatwa	 k i g a f a t w a
mikandara	 m i k a n d a r a
yayobashobora	 y a y o b a s h o b o r a
gukurura	 g u k u r u r a
ikomeje	 i k o m e j e
kwiruka	 k w i r u k a
kugabanya	 k u g a b a n y a
byagoingamba	 b y a g o i n g a m b a
zirebana	 z i r e b a n a
n’umutekano	 n ’ u m u t e k a n o
gufatwa	 g u f a t w a
impinga	i m p i n g a
butangaje	 b u t a n g a j e
aburira	 a b u r i r a
ibitare	 i b i t a r e
baturutse	 b a t u r u t s e
impande	i m p a n d e
zisi	 z  i s i
bahora	 b a h o r a
bashyiraho	 b a s h y i r a h o
nshya	 n s h y a
bushobozi	 b u s h o b o z i
bwacyo	 b w a c y o
butagira	 b u t a g i r a
iherezo	 i h e r e z o
igitekerezo	 i g i t e k e r e z o
guserebeka	g u s e r e b e k a
rubura	 r u b u r a
icya	 i c y a
ibishushanyo	i b i s h u s h a n y o
